Category: All categories

Month,recession: (United States)
2004-01,4
2004-02,4
2004-03,5
2004-04,5
2004-05,4
2004-06,4
2004-07,3
2004-08,3
2004-09,5
2004-10,5
2004-11,5
2004-12,3
2005-01,3
2005-02,4
2005-03,3
2005-04,4
2005-05,4
2005-06,3
2005-07,2
2005-08,3
2005-09,4
2005-10,4
2005-11,4
2005-12,4
2006-01,3
2006-02,3
2006-03,4
2006-04,4
2006-05,4
2006-06,3
2006-07,3
2006-08,4
2006-09,4
2006-10,4
2006-11,4
2006-12,4
2007-01,3
2007-02,6
2007-03,7
2007-04,5
2007-05,4
2007-06,3
2007-07,3
2007-08,6
2007-09,11
2007-10,8
2007-11,14
2007-12,13
2008-01,62
2008-02,26
2008-03,34
2008-04,31
2008-05,20
2008-06,13
2008-07,16
2008-08,16
2008-09,37
2008-10,55
2008-11,41
2008-12,50
2009-01,38
2009-02,49
2009-03,46
2009-04,35
2009-05,28
2009-06,21
2009-07,19
2009-08,19
2009-09,22
2009-10,23
2009-11,22
2009-12,18
2010-01,16
2010-02,15
2010-03,15
2010-04,16
2010-05,14
2010-06,12
2010-07,12
2010-08,13
2010-09,17
2010-10,13
2010-11,14
2010-12,12
2011-01,10
2011-02,10
2011-03,12
2011-04,12
2011-05,10
2011-06,10
2011-07,10
2011-08,19
2011-09,16
2011-10,15
2011-11,13
2011-12,10
2012-01,9
2012-02,11
2012-03,9
2012-04,11
2012-05,11
2012-06,8
2012-07,8
2012-08,8
2012-09,10
2012-10,11
2012-11,12
2012-12,10
2013-01,7
2013-02,8
2013-03,8
2013-04,10
2013-05,8
2013-06,5
2013-07,5
2013-08,5
2013-09,6
2013-10,8
2013-11,8
2013-12,6
2014-01,6
2014-02,7
2014-03,8
2014-04,9
2014-05,8
2014-06,6
2014-07,5
2014-08,5
2014-09,6
2014-10,8
2014-11,9
2014-12,7
2015-01,6
2015-02,7
2015-03,8
2015-04,9
2015-05,8
2015-06,5
2015-07,5
2015-08,6
2015-09,9
2015-10,9
2015-11,9
2015-12,9
2016-01,10
2016-02,13
2016-03,10
2016-04,12
2016-05,10
2016-06,8
2016-07,6
2016-08,5
2016-09,8
2016-10,10
2016-11,12
2016-12,9
2017-01,8
2017-02,9
2017-03,9
2017-04,10
2017-05,9
2017-06,6
2017-07,5
2017-08,5
2017-09,7
2017-10,8
2017-11,9
2017-12,9
2018-01,8
2018-02,11
2018-03,10
2018-04,11
2018-05,10
2018-06,10
2018-07,9
2018-08,9
2018-09,10
2018-10,13
2018-11,12
2018-12,20
2019-01,14
2019-02,12
2019-03,15
2019-04,14
2019-05,12
2019-06,11
2019-07,12
2019-08,48
2019-09,21
2019-10,19
2019-11,14
2019-12,12
2020-01,11
2020-02,17
2020-03,75
2020-04,35
2020-05,19
2020-06,16
2020-07,11
2020-08,10
2020-09,11
2020-10,10
2020-11,11
2020-12,8
2021-01,8
2021-02,8
2021-03,8
2021-04,9
2021-05,8
2021-06,5
2021-07,5
2021-08,4
2021-09,7
2021-10,9
2021-11,8
2021-12,7
2022-01,10
2022-02,12
2022-03,24
2022-04,41
2022-05,51
2022-06,100
2022-07,86
2022-08,35
2022-09,32
2022-10,43
2022-11,34
2022-12,27
2023-01,29
2023-02,23
2023-03,28
2023-04,24
2023-05,26
2023-06,17
2023-07,13
2023-08,17
2023-09,16
2023-10,18
2023-11,16
2023-12,13
2024-01,12
2024-02,17
2024-03,13
2024-04,15
2024-05,13
2024-06,10
2024-07,10
2024-08,28
2024-09,16
2024-10,12
2024-11,15
